trip_id,driver_id,date,day_of_week,week_number,stop_id,stop_sequence,daily_stop_count,visit_hour,visit_duration_min,latitude,longitude,area,priority,traffic_category,traffic_multiplier,is_rush_hour,speed_kmh,route_efficiency_score
T00001,D01,2025-09-01,0,36,S005,0,4,10,33,17.436781,78.346868,Gachibowli,high,1,1.3,0,38.1,0.7793
T00002,D01,2025-09-01,0,36,S057,1,4,10,12,17.250451,78.446464,Shamshabad,high,1,1.3,0,38.8,0.8336
T00003,D01,2025-09-01,0,36,S045,2,4,10,25,17.422425,78.358029,Gachibowli,high,0,1.0,0,42.6,0.712
T00004,D01,2025-09-01,0,36,S058,3,4,10,19,17.410075,78.556569,Uppal,low,2,1.8,0,32.8,0.4963
T00005,D01,2025-09-02,1,36,S056,0,5,14,31,17.408604,78.340433,Nanakramguda,high,0,1.0,0,44.6,0.934
T00006,D01,2025-09-02,1,36,S011,1,5,14,25,17.450823,78.517709,Secunderabad,high,1,1.3,0,36.6,0.7272
T00007,D01,2025-09-02,1,36,S052,2,5,14,16,17.357064,78.56062,LB Nagar,low,1,1.3,0,39.0,0.588
T00008,D01,2025-09-02,1,36,S012,3,5,14,39,17.340319,78.556827,LB Nagar,high,0,1.0,0,44.6,0.6299
T00009,D01,2025-09-02,1,36,S057,4,5,14,24,17.250451,78.446464,Shamshabad,high,2,1.8,0,35.9,0.4708
T00010,D01,2025-09-03,2,36,S056,0,6,16,44,17.408604,78.340433,Nanakramguda,high,1,1.3,0,43.9,0.8201
T00011,D01,2025-09-03,2,36,S005,1,6,16,26,17.436781,78.346868,Gachibowli,high,0,1.0,0,47.3,0.7864
T00012,D01,2025-09-03,2,36,S050,2,6,16,37,17.441054,78.483686,Begumpet,high,0,1.0,0,50.9,0.7358
T00013,D01,2025-09-03,2,36,S018,3,6,16,37,17.393739,78.577516,Uppal,medium,1,1.3,0,36.8,0.5309
T00014,D01,2025-09-03,2,36,S023,4,6,16,26,17.457331,78.388244,Hitech City,low,1,1.3,0,37.4,0.3961
T00015,D01,2025-09-03,2,36,S042,5,6,16,43,17.42152,78.406019,Jubilee Hills,high,1,1.3,0,42.9,0.5644
T00016,D01,2025-09-04,3,36,S024,0,5,13,17,17.471983,78.356486,Kondapur,medium,1,1.3,0,37.9,0.7978
T00017,D01,2025-09-04,3,36,S028,1,5,13,29,17.460676,78.461678,SR Nagar,high,1,1.3,0,38.3,0.8133
T00018,D01,2025-09-04,3,36,S005,2,5,13,22,17.436781,78.346868,Gachibowli,high,1,1.3,0,37.3,0.6779
T00019,D01,2025-09-04,3,36,S043,3,5,13,21,17.430977,78.371042,Hitech City,medium,2,1.8,0,33.3,0.4807
T00020,D01,2025-09-04,3,36,S059,4,5,13,28,17.361455,78.514531,Dilsukhnagar,low,0,1.0,0,42.3,0.422
T00021,D01,2025-09-05,4,36,S039,0,8,16,20,17.349088,78.532414,Dilsukhnagar,high,1,1.3,0,38.3,0.8866
T00022,D01,2025-09-05,4,36,S042,1,8,16,15,17.42152,78.406019,Jubilee Hills,high,1,1.3,0,37.5,0.8675
T00023,D01,2025-09-05,4,36,S021,2,8,16,29,17.425481,78.431837,Banjara Hills,medium,1,1.3,0,39.9,0.5587
T00024,D01,2025-09-05,4,36,S030,3,8,16,40,17.4523,78.470675,Begumpet,low,0,1.0,0,46.0,0.6723
T00025,D01,2025-09-05,4,36,S029,4,8,16,39,17.451067,78.449007,Ameerpet,high,1,1.3,0,36.0,0.5927
T00026,D01,2025-09-05,4,36,S056,5,8,16,41,17.408604,78.340433,Nanakramguda,high,1,1.3,0,41.8,0.5838
T00027,D01,2025-09-05,4,36,S044,6,8,16,10,17.474853,78.341767,Kondapur,low,0,1.0,0,48.7,0.5771
T00028,D01,2025-09-05,4,36,S014,7,8,16,24,17.407665,78.406546,Tolichowki,high,1,1.3,0,35.9,0.439
T00029,D02,2025-09-01,0,36,S030,0,8,15,45,17.4523,78.470675,Begumpet,low,1,1.3,0,37.1,0.8321
T00030,D02,2025-09-01,0,36,S004,1,8,15,42,17.460514,78.340661,Kondapur,low,1,1.3,0,39.1,0.6892
T00031,D02,2025-09-01,0,36,S036,2,8,15,38,17.433918,78.34896,Nanakramguda,low,2,1.8,0,42.4,0.606
T00032,D02,2025-09-01,0,36,S016,3,8,15,25,17.414185,78.345971,Nanakramguda,high,0,1.0,0,45.0,0.818
T00033,D02,2025-09-01,0,36,S055,4,8,15,43,17.402114,78.404109,Manikonda,high,0,1.0,0,45.8,0.688
T00034,D02,2025-09-01,0,36,S008,5,8,15,25,17.454085,78.460389,SR Nagar,high,1,1.3,0,43.4,0.5582
T00035,D02,2025-09-01,0,36,S060,6,8,15,44,17.350947,78.428631,Attapur,low,1,1.3,0,44.7,0.4305
T00036,D02,2025-09-01,0,36,S009,7,8,15,23,17.420552,78.440427,Ameerpet,low,0,1.0,0,48.8,0.3628
T00037,D02,2025-09-02,1,36,S022,0,7,14,11,17.420573,78.427002,Jubilee Hills,medium,1,1.3,0,46.4,0.7299
T00038,D02,2025-09-02,1,36,S035,1,7,14,32,17.403107,78.394264,Manikonda,low,0,1.0,0,44.0,0.7026
T00039,D02,2025-09-02,1,36,S030,2,7,14,36,17.4523,78.470675,Begumpet,low,1,1.3,0,38.5,0.6995
T00040,D02,2025-09-02,1,36,S027,3,7,14,41,17.479162,78.396991,Kukatpally,high,2,1.8,0,37.2,0.5836
T00041,D02,2025-09-02,1,36,S004,4,7,14,11,17.460514,78.340661,Kondapur,low,1,1.3,0,39.8,0.5849
T00042,D02,2025-09-02,1,36,S014,5,7,14,39,17.407665,78.406546,Tolichowki,high,1,1.3,0,46.1,0.652
T00043,D02,2025-09-02,1,36,S054,6,7,14,44,17.385738,78.412244,Tolichowki,low,2,1.8,0,41.4,0.3811
T00044,D02,2025-09-03,2,36,S006,0,4,15,26,17.456226,78.38511,Madhapur,high,0,1.0,0,48.5,0.8758
